"X","d1"
0,-4.70718e-037
0.004,8.66734e-012
0.008,1.83089e-011
0.012,2.90343e-011
0.016,4.09655e-011
0.02,5.42382e-011
0.024,6.90036e-011
0.028,8.54296e-011
0.032,1.03703e-010
0.036,1.24032e-010
0.04,1.46647e-010
0.044,1.71807e-010
0.048,1.99796e-010
0.052,2.30935e-010
0.056,2.65578e-010
0.06,3.04118e-010
0.064,3.46995e-010
0.068,3.94696e-010
0.072,4.47765e-010
0.076,5.06806e-010
0.08,5.7249e-010
0.084,6.45566e-010
0.088,7.26867e-010
0.092,8.17316e-010
0.096,9.17943e-010
0.1,1.0299e-009
0.104,1.15445e-009
0.108,1.29302e-009
0.112,1.44718e-009
0.116,1.6187e-009
0.12,1.80952e-009
0.124,2.02181e-009
0.128,2.258e-009
0.132,2.52077e-009
0.136,2.81311e-009
0.14,3.13836e-009
0.144,3.50022e-009
0.148,3.9028e-009
0.152,4.35069e-009
0.156,4.84899e-009
0.16,5.40338e-009
0.164,6.02016e-009
0.168,6.70636e-009
0.172,7.4698e-009
0.176,8.31916e-009
0.18,9.26412e-009
0.184,1.03154e-008
0.188,1.14851e-008
0.192,1.27864e-008
0.196,1.42341e-008
0.2,1.58448e-008
0.204,1.76368e-008
0.208,1.96305e-008
0.212,2.18486e-008
0.216,2.43163e-008
0.22,2.70618e-008
0.224,3.01163e-008
0.228,3.35146e-008
0.232,3.72954e-008
0.236,4.15017e-008
0.24,4.61815e-008
0.244,5.13879e-008
0.248,5.71804e-008
0.252,6.36249e-008
0.256,7.07947e-008
0.26,7.87714e-008
0.264,8.7646e-008
0.268,9.75195e-008
0.272,1.08504e-007
0.276,1.20725e-007
0.28,1.34322e-007
0.284,1.49449e-007
0.288,1.66279e-007
0.292,1.85002e-007
0.296,2.05834e-007
0.3,2.2901e-007
0.304,2.54794e-007
0.308,2.8348e-007
0.312,3.15396e-007
0.316,3.50903e-007
0.32,3.90407e-007
0.324,4.34358e-007
0.328,4.83255e-007
0.332,5.37655e-007
0.336,5.98179e-007
0.34,6.65514e-007
0.344,7.40429e-007
0.348,8.23775e-007
0.352,9.16503e-007
0.356,1.01967e-006
0.36,1.13444e-006
0.364,1.26214e-006
0.368,1.4042e-006
0.372,1.56226e-006
0.376,1.73811e-006
0.38,1.93374e-006
0.384,2.1514e-006
0.388,2.39356e-006
0.392,2.66297e-006
0.396,2.9627e-006
0.4,3.29617e-006
0.404,3.66718e-006
0.408,4.07994e-006
0.412,4.53915e-006
0.416,5.05006e-006
0.42,5.61847e-006
0.424,6.25085e-006
0.428,6.95441e-006
0.432,7.73715e-006
0.436,8.608e-006
0.44,9.57686e-006
0.444,1.06548e-005
0.448,1.1854e-005
0.452,1.31882e-005
0.456,1.46725e-005
0.46,1.6324e-005
0.464,1.81613e-005
0.468,2.02053e-005
0.472,2.24795e-005
0.476,2.50096e-005
0.48,2.78244e-005
0.484,3.0956e-005
0.488,3.44401e-005
0.492,3.83163e-005
0.496,4.26288e-005
0.5,4.74266e-005
0.504,5.27643e-005
0.508,5.87027e-005
0.512,6.53094e-005
0.516,7.26597e-005
0.52,8.0837e-005
0.524,8.99346e-005
0.528,0.000100056
0.532,0.000111316
0.536,0.000123844
0.54,0.00013778
0.544,0.000153286
0.548,0.000170535
0.552,0.000189725
0.556,0.000211075
0.56,0.000234826
0.564,0.000261248
0.568,0.000290643
0.572,0.000323344
0.576,0.000359723
0.58,0.000400193
0.584,0.000445214
0.588,0.000495297
0.592,0.00055101
0.596,0.000612985
0.6,0.000681926
0.604,0.000758614
0.608,0.000843919
0.612,0.000938805
0.616,0.00104435
0.62,0.00116174
0.624,0.00129231
0.628,0.00143753
0.632,0.00159904
0.636,0.00177866
0.64,0.00197841
0.644,0.00220054
0.648,0.00244754
0.652,0.00272218
0.656,0.00302754
0.66,0.00336702
0.664,0.00374441
0.668,0.0041639
0.672,0.00463014
0.676,0.00514829
0.68,0.00572406
0.684,0.00636376
0.688,0.0070744
0.692,0.00786369
0.696,0.00874019
0.7,0.00971334
0.704,0.0107935
0.708,0.0119923
0.712,0.0133222
0.716,0.0147972
0.72,0.0164326
0.724,0.018245
0.728,0.020253
0.732,0.0224765
0.736,0.0249375
0.74,0.0276598
0.744,0.0306695
0.748,0.0339946
0.752,0.0376657
0.756,0.0417155
0.76,0.0461793
0.764,0.0510949
0.768,0.0565025
0.772,0.0624451
0.776,0.0689679
0.78,0.0761185
0.784,0.0839467
0.788,0.0925044
0.792,0.101845
0.796,0.112024
0.8,0.123097
0.804,0.13512
0.808,0.14815
0.812,0.162244
0.816,0.177456
0.82,0.19384
0.824,0.211447
0.828,0.230325
0.832,0.250518
0.836,0.272069
0.84,0.295013
0.844,0.319381
0.848,0.345201
0.852,0.372494
0.856,0.401275
0.86,0.431555
0.864,0.463338
0.868,0.496626
0.872,0.531412
0.876,0.567687
0.88,0.605437
0.884,0.644645
0.888,0.685289
0.892,0.727344
0.896,0.770785
0.9,0.81558
0.904,0.8617
0.908,0.909112
0.912,0.957782
0.916,1.00768
0.92,1.05876
0.924,1.11099
0.928,1.16435
0.932,1.21879
0.936,1.27427
0.94,1.33077
0.944,1.38825
0.948,1.44668
0.952,1.50602
0.956,1.56624
0.96,1.62732
0.964,1.68922
0.968,1.75192
0.972,1.81539
0.976,1.87959
0.98,1.94451
0.984,2.01012
0.988,2.07639
0.992,2.1433
0.996,2.21084
1,2.27897
1.004,2.34769
1.008,2.41696
1.012,2.48677
1.02,2.62794
1.028,2.77107
1.036,2.91602
1.044,3.06268
1.052,3.21094
1.06,3.36071
1.068,3.51189
1.076,3.66441
1.084,3.81818
1.092,3.97313
1.1,4.1292
1.108,4.28633
1.116,4.44445
1.128,4.68341
1.14,4.92434
1.152,5.16708
1.164,5.41153
1.176,5.65754
1.188,5.90503
1.2,6.15388
1.216,6.48767
1.232,6.82355
1.248,7.16136
1.264,7.50094
1.284,7.92772
1.304,8.35684
1.324,8.7881
1.348,9.30819
1.372,9.83083
1.396,10.3558
1.424,10.971
1.452,11.5887
1.484,12.2976
1.52,13.0984
1.556,13.9023
1.596,14.7989
1.64,15.7887
1.684,16.7819
1.728,17.778
1.772,18.7767
1.816,19.7781
1.86,20.7815
1.904,21.7869
1.948,22.7942
1.992,23.8031
2,23.9867
