"X","D1"
0,-4.84474e-027
0.004,8.65935e-012
0.008,1.82929e-011
0.012,2.90103e-011
0.016,4.09335e-011
0.02,5.41982e-011
0.024,6.89555e-011
0.028,8.53733e-011
0.032,1.03638e-010
0.036,1.23959e-010
0.04,1.46566e-010
0.044,1.71717e-010
0.048,1.99699e-010
0.052,2.3083e-010
0.056,2.65464e-010
0.06,3.03995e-010
0.064,3.46863e-010
0.068,3.94555e-010
0.072,4.47615e-010
0.076,5.06646e-010
0.08,5.72321e-010
0.084,6.45386e-010
0.088,7.26675e-010
0.092,8.17112e-010
0.096,9.17728e-010
0.1,1.02967e-009
0.104,1.1542e-009
0.108,1.29276e-009
0.112,1.4469e-009
0.116,1.61839e-009
0.12,1.80919e-009
0.124,2.02145e-009
0.128,2.2576e-009
0.132,2.52033e-009
0.136,2.81263e-009
0.14,3.13781e-009
0.144,3.49959e-009
0.148,3.90209e-009
0.152,4.34987e-009
0.156,4.84804e-009
0.16,5.40227e-009
0.164,6.01885e-009
0.168,6.70481e-009
0.172,7.46795e-009
0.176,8.31695e-009
0.18,9.26145e-009
0.184,1.03122e-008
0.188,1.14812e-008
0.192,1.27816e-008
0.196,1.42283e-008
0.2,1.58377e-008
0.204,1.76281e-008
0.208,1.96198e-008
0.212,2.18354e-008
0.216,2.43001e-008
0.22,2.70418e-008
0.224,3.00916e-008
0.228,3.34842e-008
0.232,3.72578e-008
0.236,4.14553e-008
0.24,4.61241e-008
0.244,5.13171e-008
0.248,5.70928e-008
0.252,6.35166e-008
0.256,7.06607e-008
0.26,7.86058e-008
0.264,8.74412e-008
0.268,9.72661e-008
0.272,1.08191e-007
0.276,1.20338e-007
0.28,1.33843e-007
0.284,1.48856e-007
0.288,1.65545e-007
0.292,1.84096e-007
0.296,2.04712e-007
0.3,2.27623e-007
0.304,2.53079e-007
0.308,2.8136e-007
0.312,3.12775e-007
0.316,3.47664e-007
0.32,3.86404e-007
0.324,4.29411e-007
0.328,4.77144e-007
0.332,5.30107e-007
0.336,5.88858e-007
0.34,6.54007e-007
0.344,7.26227e-007
0.348,8.06252e-007
0.352,8.9489e-007
0.356,9.93019e-007
0.36,1.1016e-006
0.364,1.22168e-006
0.368,1.35439e-006
0.372,1.50096e-006
0.376,1.66272e-006
0.38,1.8411e-006
0.384,2.03763e-006
0.388,2.25394e-006
0.392,2.49178e-006
0.396,2.753e-006
0.4,3.03956e-006
0.404,3.35349e-006
0.408,3.69693e-006
0.412,4.0721e-006
0.416,4.48127e-006
0.42,4.92679e-006
0.424,5.411e-006
0.428,5.9363e-006
0.432,6.50505e-006
0.436,7.1196e-006
0.44,7.78221e-006
0.444,8.4951e-006
0.448,9.26036e-006
0.452,1.00799e-005
0.456,1.09556e-005
0.46,1.18891e-005
0.464,1.28817e-005
0.468,1.39348e-005
0.472,1.50493e-005
0.476,1.62259e-005
0.48,1.74654e-005
0.484,1.87678e-005
0.488,2.01335e-005
0.492,2.15623e-005
0.496,2.30538e-005
0.5,2.46076e-005
0.504,2.6223e-005
0.508,2.78993e-005
0.512,2.96353e-005
0.516,3.14301e-005
0.52,3.32824e-005
0.524,3.51911e-005
0.528,3.71547e-005
0.532,3.91718e-005
0.536,4.12411e-005
0.54,4.33611e-005
0.544,4.55303e-005
0.548,4.77472e-005
0.552,5.00104e-005
0.556,5.23183e-005
0.56,5.46696e-005
0.564,5.70627e-005
0.568,5.94963e-005
0.572,6.19691e-005
0.576,6.44796e-005
0.58,6.70266e-005
0.584,6.96088e-005
0.588,7.2225e-005
0.592,7.4874e-005
0.596,7.75547e-005
0.6,8.02659e-005
0.604,8.30066e-005
0.608,8.57758e-005
0.612,8.85724e-005
0.616,9.13956e-005
0.62,9.42444e-005
0.624,9.71179e-005
0.628,0.000100015
0.632,0.000102936
0.636,0.000105878
0.644,0.000111828
0.652,0.000117858
0.66,0.000123964
0.668,0.00013014
0.676,0.000136383
0.684,0.000142687
0.692,0.000149051
0.7,0.000155469
0.708,0.00016194
0.716,0.000168459
0.724,0.000175025
0.732,0.000181635
0.74,0.000188286
0.752,0.000198335
0.764,0.000208466
0.776,0.000218673
0.788,0.00022895
0.8,0.000239293
0.812,0.000249697
0.824,0.000260157
0.84,0.000274187
0.856,0.000288303
0.872,0.0003025
0.888,0.000316771
0.908,0.000334705
0.928,0.000352736
0.952,0.000374489
0.976,0.00039636
1,0.000418336
1.024,0.000440407
1.052,0.000466266
1.08,0.000492233
1.112,0.000522027
1.148,0.000555683
1.184,0.000589468
1.224,0.000627143
1.268,0.000668733
1.312,0.000710461
1.356,0.000752313
1.4,0.000794276
1.444,0.000836339
1.488,0.000878486
1.532,0.000920725
1.576,0.000963039
1.62,0.00100542
1.664,0.00104787
1.708,0.00109038
1.752,0.00113294
1.796,0.00117556
1.84,0.00121822
1.884,0.00126092
1.928,0.00130367
1.972,0.00134646
2,0.00137371
