"Q1(C)","IC[Q1(B)=0.00]","IC[Q1(B)=2.00u]","IC[Q1(B)=4.00u]","IC[Q1(B)=6.00u]","IC[Q1(B)=8.00u]","IC[Q1(B)=10.0u]","IC[Q1(B)=12.0u]","IC[Q1(B)=14.0u]","IC[Q1(B)=16.0u]","IC[Q1(B)=18.0u]","IC[Q1(B)=20.0u]"
0,3.94899e-027,-1.95704e-006,-3.88761e-006,-5.79217e-006,-7.67116e-006,-9.52504e-006,-1.13542e-005,-1.31592e-005,-1.49402e-005,-1.66979e-005,-1.84325e-005
0.06,2.12785e-013,4.33463e-005,8.26177e-005,0.000118532,0.000151623,0.000182304,0.000210903,0.000237682,0.000262858,0.000286609,0.000309085
0.12,4.17528e-013,0.000213373,0.000385947,0.000528236,0.000648206,0.000751291,0.000841307,0.000920978,0.000992299,0.00105676,0.0011155
0.18,6.23238e-013,0.000360503,0.000689578,0.000981682,0.00123377,0.00144936,0.00163356,0.00179183,0.00192902,0.00204915,0.00215537
0.24,8.31862e-013,0.00039222,0.000776807,0.00115101,0.00151048,0.0018499,0.00216365,0.0024474,0.00269935,0.00292046,0.00311354
0.3,1.04494e-012,0.000396081,0.000788359,0.00117676,0.00156133,0.00193822,0.00230954,0.00267176,0.00302176,0.00335556,0.00366873
0.36,1.26415e-012,0.000396762,0.000790033,0.00117999,0.0015667,0.00195005,0.00233015,0.00270687,0.00308012,0.00344977,0.00380848
0.42,1.49179e-012,0.000397107,0.000790753,0.00118114,0.00156851,0.00195268,0.00233383,0.00271199,0.00308722,0.00345952,0.0038287
0.48,1.73104e-012,0.000397452,0.000791472,0.00118229,0.00156986,0.00195437,0.00233585,0.00271442,0.00309017,0.00346335,0.00383353
0.54,1.9862e-012,0.000397797,0.000792191,0.0011833,0.00157122,0.00195606,0.00233788,0.00271684,0.00309311,0.00346633,0.00383684
0.6,2.26308e-012,0.000398141,0.000792871,0.00118432,0.00157257,0.00195775,0.00233991,0.00271926,0.00309577,0.00346932,0.00384015
0.66,2.56939e-012,0.000398486,0.000793551,0.00118533,0.00157393,0.00195944,0.00234193,0.00272168,0.00309843,0.00347231,0.00384347
0.72,2.91526e-012,0.000398831,0.000794231,0.00118635,0.00157528,0.00196113,0.00234396,0.00272401,0.00310109,0.0034753,0.00384678
0.78,3.31362e-012,0.000399176,0.000794911,0.00118737,0.00157663,0.00196282,0.00234599,0.00272635,0.00310374,0.00347828,0.00385009
0.84,3.78055e-012,0.000399521,0.000795591,0.00118838,0.00157799,0.00196451,0.00234801,0.00272868,0.0031064,0.00348127,0.0038534
0.9,4.3352e-012,0.000399866,0.000796272,0.0011894,0.00157934,0.0019662,0.00235004,0.00273101,0.00310906,0.00348426,0.00385672
0.96,4.99938e-012,0.000400211,0.000796952,0.00119042,0.0015807,0.00196789,0.00235206,0.00273335,0.00311172,0.00348725,0.00386003
1.02,5.79622e-012,0.000400556,0.000797632,0.00119143,0.00158205,0.00196958,0.00235409,0.00273568,0.00311437,0.00349023,0.00386334
