"VC","IC[IB=0.00]","IC[IB=100u]","IC[IB=200u]","IC[IB=300u]","IC[IB=400u]","IC[IB=500u]","IC[IB=600u]","IC[IB=700u]","IC[IB=800u]","IC[IB=900u]"
0,3.94899e-027,-7.27269e-005,-0.000114312,-0.000140866,-0.000159267,-0.00017281,-0.000183244,-0.000191574,-0.000198416,-0.000204169
0.1,3.49241e-013,0.00160173,0.00195134,0.00214298,0.00226996,0.00236149,0.00243257,0.00248905,0.00253522,0.00257376
0.2,6.92431e-013,0.00408378,0.00461099,0.00488995,0.00507311,0.00520912,0.00531444,0.00539926,0.00546948,0.00552885
0.3,1.04494e-012,0.0068007,0.00747136,0.00780782,0.00802795,0.00818892,0.00831417,0.00841562,0.00850013,0.00857203
0.4,1.4148e-012,0.00957227,0.0104181,0.0108072,0.0110563,0.0112349,0.0113755,0.0114894,0.0115845,0.0116655
0.5,1.81408e-012,0.0122993,0.0134023,0.0138494,0.0141268,0.0143253,0.0144787,0.0146026,0.014706,0.0147941
0.6,2.26309e-012,0.0148066,0.0163992,0.0169172,0.0172249,0.0174415,0.0176072,0.0177404,0.0178512,0.0179456
0.7,2.79484e-012,0.0165724,0.0193837,0.0199965,0.0203388,0.0205746,0.0207529,0.0208953,0.0210132,0.0211135
0.8,3.46074e-012,0.0169614,0.0223278,0.0230759,0.0234629,0.0237189,0.0239107,0.0240626,0.0241878,0.0242938
0.9,4.33509e-012,0.0169992,0.0251776,0.0261472,0.026587,0.026872,0.0270794,0.0272388,0.0273715,0.0274834
1,5.514e-012,0.0170233,0.0278142,0.0291981,0.029711,0.0300252,0.0302481,0.0304234,0.0305645,0.0306827
1.1,7.10254e-012,0.0170475,0.02981,0.0322112,0.0328271,0.0331783,0.0334219,0.033608,0.0337575,0.033882
1.2,9.19034e-012,0.0170717,0.0303962,0.0351551,0.0359287,0.0363289,0.0365957,0.0367971,0.0369577,0.0370901
1.3,1.18273e-011,0.0170958,0.0304646,0.0379505,0.039006,0.0394721,0.0397695,0.0399861,0.040158,0.0402982
1.4,1.50144e-011,0.01712,0.0305076,0.0403878,0.0420437,0.0426033,0.0429343,0.0431751,0.0433583,0.0435064
1.5,1.87129e-011,0.0171441,0.0305507,0.0417388,0.0450133,0.0457158,0.0460991,0.0463584,0.0465586,0.0467161
1.6,2.28629e-011,0.0171683,0.0305937,0.0419387,0.0478432,0.0487997,0.0492494,0.0495417,0.0497553,0.0499258
1.7,2.73998e-011,0.0171925,0.0306368,0.0419983,0.0503497,0.051838,0.0523837,0.0527102,0.0529521,0.0531355
1.8,3.22635e-011,0.0172166,0.0306798,0.0420579,0.0518695,0.0547988,0.0554946,0.0558786,0.0561382,0.0563393
1.9,3.74024e-011,0.0172408,0.0307229,0.0421175,0.0521391,0.0575962,0.0585701,0.0590274,0.0593243,0.0595431
2,4.2774e-011,0.0172649,0.0307659,0.042177,0.0522132,0.0599973,0.0615886,0.0621554,0.0624966,0.0627355
2.1,4.83435e-011,0.0172892,0.030809,0.0422366,0.0522872,0.0612379,0.0645005,0.065253,0.0656551,0.065928
2.2,5.4083e-011,0.0173134,0.030852,0.0422962,0.0523613,0.0614426,0.0671911,0.0683036,0.0687942,0.0690997
2.3,5.99695e-011,0.0173376,0.0308951,0.0423557,0.0524353,0.0615271,0.0692461,0.0712754,0.0719056,0.0722714
2.4,6.59849e-011,0.0173618,0.0309381,0.0424153,0.0525094,0.0616116,0.0699091,0.0740829,0.074975,0.0754175
2.5,7.21139e-011,0.0173861,0.0309813,0.0424749,0.0525835,0.0616961,0.0700346,0.0764948,0.0779761,0.0785371
2.6,7.83442e-011,0.0174103,0.0310245,0.0425344,0.0526575,0.0617806,0.0701322,0.0777569,0.0808431,0.081617
2.7,8.46656e-011,0.0174345,0.0310677,0.042594,0.0527316,0.0618651,0.0702297,0.077986,0.0834107,0.0846335
2.8,9.10693e-011,0.0174587,0.0311109,0.0426532,0.0528049,0.0619511,0.0703273,0.0780938,0.0850796,0.087529
2.9,9.75484e-011,0.017483,0.031154,0.0427124,0.0528782,0.0620371,0.0704249,0.0782016,0.0854528,0.090165
3,1.04096e-010,0.0175072,0.0311972,0.0427716,0.0529515,0.0621231,0.0705225,0.0783094,0.0855721,0.092035
3.1,1.10708e-010,0.0175314,0.0312404,0.0428308,0.0530248,0.0622091,0.07062,0.0784172,0.0856914,0.0925426
3.2,1.1738e-010,0.0175556,0.0312836,0.04289,0.0530981,0.0622951,0.0707176,0.078525,0.0858107,0.0926781
3.3,1.24106e-010,0.0175799,0.0313268,0.0429493,0.0531714,0.0623811,0.0708152,0.0786328,0.08593,0.0928137
3.4,1.30885e-010,0.0176041,0.0313699,0.0430085,0.0532447,0.0624671,0.0709127,0.0787406,0.0860493,0.0929417
3.5,1.37714e-010,0.0176283,0.0314131,0.0430677,0.053318,0.0625532,0.0710103,0.0788484,0.0861686,0.0930697
3.6,1.44589e-010,0.0176525,0.0314563,0.0431269,0.0533913,0.0626392,0.0711079,0.0789562,0.0862879,0.0931977
3.7,1.51508e-010,0.0176768,0.0314995,0.0431861,0.0534646,0.0627252,0.0712055,0.079064,0.0864072,0.0933257
3.8,1.58469e-010,0.017701,0.0315427,0.0432453,0.053538,0.0628112,0.0713032,0.0791718,0.0865265,0.0934537
3.9,1.65472e-010,0.0177252,0.0315858,0.0433045,0.0536113,0.0628972,0.0714008,0.0792802,0.0866458,0.0935817
4,1.72513e-010,0.0177494,0.031629,0.0433637,0.0536846,0.0629832,0.0714985,0.0793886,0.0867651,0.0937097
4.1,1.79592e-010,0.0177737,0.0316722,0.0434229,0.0537579,0.0630692,0.0715961,0.0794971,0.0868836,0.0938377
4.2,1.86724e-010,0.0177979,0.0317154,0.0434821,0.0538312,0.0631552,0.0716938,0.0796055,0.0870021,0.0939657
4.3,1.93857e-010,0.0178221,0.0317586,0.0435413,0.0539045,0.0632413,0.0717914,0.0797139,0.0871206,0.0940937
4.4,2.01058e-010,0.0178463,0.0318017,0.0436005,0.0539778,0.0633273,0.0718891,0.0798223,0.0872391,0.0942217
4.5,2.08259e-010,0.0178706,0.0318449,0.0436598,0.0540511,0.0634133,0.0719867,0.0799308,0.0873576,0.0943497
4.6,2.15524e-010,0.0178948,0.0318881,0.043719,0.0541244,0.0634993,0.0720843,0.0800392,0.0874762,0.0944777
4.7,2.22789e-010,0.017919,0.0319313,0.0437782,0.0541977,0.0635853,0.072182,0.0801476,0.0875947,0.0946057
4.9,2.37443e-010,0.0179675,0.0320176,0.0438966,0.0543443,0.0637573,0.0723773,0.0803645,0.0878317,0.0948617
5.1,2.52215e-010,0.0180159,0.032104,0.044015,0.054491,0.0639294,0.0725726,0.0805814,0.0880687,0.0951177
5.3,2.67101e-010,0.0180644,0.0321904,0.0441334,0.0546376,0.0641014,0.0727679,0.0807982,0.0883057,0.0953737
5.5,2.82096e-010,0.0181128,0.0322767,0.0442518,0.0547842,0.0642734,0.0729632,0.0810151,0.0885427,0.0956297
5.7,2.97199e-010,0.0181613,0.0323631,0.0443703,0.0549308,0.0644454,0.0731585,0.0812319,0.0887798,0.0958857
5.8,3.04802e-010,0.0181855,0.0324063,0.0444295,0.0550041,0.0645314,0.0732561,0.0813404,0.0888983,0.0960137
5.9,3.12405e-010,0.0182097,0.0324494,0.0444887,0.0550774,0.0646175,0.0733538,0.0814488,0.0890168,0.0961417
6,3.20059e-010,0.018234,0.0324926,0.0445479,0.0551507,0.0647035,0.0734514,0.0815572,0.0891353,0.0962697
6.1,3.27714e-010,0.0182582,0.0325358,0.0446071,0.055224,0.0647895,0.0735491,0.0816656,0.0892538,0.0963977
6.2,3.35418e-010,0.0182824,0.032579,0.0446663,0.0552973,0.0648755,0.0736467,0.0817741,0.0893723,0.0965257
6.3,3.43122e-010,0.0183066,0.0326222,0.0447255,0.0553707,0.0649615,0.0737444,0.0818825,0.0894908,0.0966537
6.4,3.50874e-010,0.0183309,0.0326653,0.0447847,0.055444,0.0650475,0.073842,0.0819909,0.0896093,0.0967817
6.5,3.58627e-010,0.0183551,0.0327085,0.0448439,0.0555173,0.0651335,0.0739396,0.0820994,0.0897278,0.0969097
6.6,3.66428e-010,0.0183793,0.0327517,0.0449031,0.0555906,0.0652195,0.0740373,0.0822078,0.0898463,0.0970377
6.7,3.74229e-010,0.0184035,0.0327949,0.0449623,0.0556639,0.0653056,0.0741349,0.0823162,0.0899649,0.0971657
6.8,3.82077e-010,0.0184278,0.0328381,0.0450215,0.0557372,0.0653916,0.0742326,0.0824246,0.0900834,0.0972937
6.9,3.89926e-010,0.018452,0.0328812,0.0450808,0.0558105,0.0654776,0.0743302,0.0825331,0.0902019,0.0974217
7.1,4.05716e-010,0.0185004,0.0329676,0.0451992,0.0559571,0.0656496,0.0745255,0.0827499,0.0904389,0.0976777
7.3,4.21598e-010,0.0185489,0.033054,0.0453176,0.0561037,0.0658216,0.0747208,0.0829668,0.0906759,0.0979337
7.5,4.37571e-010,0.0185973,0.0331403,0.045436,0.0562503,0.0659937,0.0749161,0.0831837,0.0909129,0.0981897
7.7,4.53657e-010,0.0186458,0.0332267,0.0455544,0.056397,0.0661657,0.0751114,0.0834005,0.09115,0.0984457
7.8,4.617e-010,0.01867,0.0332699,0.0456136,0.0564703,0.0662517,0.0752091,0.0835089,0.0912685,0.0985737
7.9,4.6981e-010,0.0186942,0.033313,0.0456728,0.0565436,0.0663377,0.0753067,0.0836174,0.091387,0.0987017
8,4.7792e-010,0.0187185,0.0333562,0.0457321,0.0566169,0.0664237,0.0754044,0.0837258,0.0915055,0.0988297
8.1,4.86029e-010,0.0187427,0.0333994,0.0457913,0.0566902,0.0665097,0.075502,0.0838342,0.091624,0.0989577
8.2,4.94205e-010,0.0187669,0.0334426,0.0458505,0.0567635,0.0665957,0.0755997,0.0839427,0.0917425,0.0990857
8.4,5.10557e-010,0.0188154,0.0335289,0.0459689,0.0569101,0.0667678,0.0757949,0.0841595,0.0919795,0.0993417
8.6,5.27038e-010,0.0188638,0.0336153,0.0460873,0.0570567,0.0669398,0.0759902,0.0843764,0.0922165,0.0995977
8.7,5.35279e-010,0.018888,0.0336585,0.0461465,0.05713,0.0670258,0.0760879,0.0844848,0.092335,0.0997257
8.8,5.43585e-010,0.0189123,0.0337017,0.0462057,0.0572034,0.0671118,0.0761855,0.0845932,0.0924536,0.0998537
9,5.60196e-010,0.0189607,0.033788,0.0463241,0.05735,0.0672838,0.0763808,0.0848101,0.0926906,0.10011
9.1,5.68566e-010,0.0189849,0.0338312,0.0463833,0.0574233,0.0673699,0.0764785,0.0849185,0.0928091,0.100238
9.3,5.85305e-010,0.0190334,0.0339176,0.0465018,0.0575699,0.0675419,0.0766738,0.0851354,0.0930461,0.100494
9.5,6.02171e-010,0.0190818,0.0340039,0.0466202,0.0577165,0.0677139,0.0768691,0.0853522,0.0932831,0.10075
9.6,6.10605e-010,0.0191061,0.0340471,0.0466794,0.0577898,0.0677999,0.0769667,0.0854607,0.0934016,0.100878
9.7,6.19101e-010,0.0191303,0.0340903,0.0467386,0.0578631,0.0678859,0.0770644,0.0855691,0.0935201,0.101006
9.9,6.36094e-010,0.0191788,0.0341766,0.046857,0.0580097,0.0680579,0.0772597,0.0857859,0.0937572,0.101262
10,6.44632e-010,0.019203,0.0342198,0.0469162,0.058083,0.068144,0.0773573,0.0858944,0.0938757,0.10139
