"X","d1"
-0.1,-7.1855e-011
-0.084,-6.89637e-011
-0.068,-6.45586e-011
-0.052,-5.78357e-011
-0.036,-4.75611e-011
-0.02,-3.18448e-011
-0.004,-7.79173e-012
0.012,2.90343e-011
0.028,8.54294e-011
0.044,1.71806e-010
0.06,3.04118e-010
0.076,5.06806e-010
0.092,8.17316e-010
0.108,1.29302e-009
0.124,2.02181e-009
0.14,3.13836e-009
0.156,4.84899e-009
0.172,7.4698e-009
0.188,1.14851e-008
0.204,1.76368e-008
0.22,2.70618e-008
0.236,4.15017e-008
0.252,6.36249e-008
0.268,9.75195e-008
0.284,1.49449e-007
0.3,2.2901e-007
0.316,3.50903e-007
0.332,5.37655e-007
0.348,8.23775e-007
0.364,1.26214e-006
0.38,1.93374e-006
0.396,2.9627e-006
0.412,4.53915e-006
0.428,6.95441e-006
0.444,1.06548e-005
0.46,1.6324e-005
0.476,2.50096e-005
0.492,3.83163e-005
0.508,5.87027e-005
0.524,8.99346e-005
0.54,0.00013778
0.556,0.000211075
0.572,0.000323344
0.588,0.000495297
0.604,0.000758614
0.62,0.00116174
0.636,0.00177866
0.652,0.00272218
0.668,0.0041639
0.684,0.00636376
0.7,0.00971334
0.716,0.0147972
0.732,0.0224765
0.748,0.0339946
0.764,0.0510949
0.78,0.0761185
0.796,0.112024
0.812,0.162244
0.828,0.230325
0.844,0.319381
0.86,0.431555
0.876,0.567687
0.892,0.727344
0.908,0.909112
0.924,1.11099
0.94,1.33077
0.956,1.56624
0.972,1.81539
0.988,2.07639
1.004,2.34769
1.02,2.62794
1.036,2.91602
1.052,3.21094
1.068,3.51189
1.084,3.81818
1.1,4.1292
1.116,4.44445
1.132,4.76351
1.148,5.08597
1.164,5.41153
1.18,5.73988
1.196,6.07078
1.212,6.40402
1.228,6.73939
1.244,7.07673
1.26,7.41588
1.276,7.75671
1.308,8.44292
1.34,9.13452
1.372,9.83083
1.404,10.5313
1.436,11.2354
1.468,11.9428
1.5,12.6531
